Date,Open,High,Low,Close,Adj Close,Volume,Stock Name
18-02-2022,295.3333435,295.6233215,279.2033386,285.6600037,285.6600037,68501700,TSLA
22-02-2022,278.043335,285.5766602,267.0333252,273.8433228,273.8433228,83288100,TSLA
23-02-2022,276.8099976,278.4333191,253.5200043,254.6799927,254.6799927,95256900,TSLA
24-02-2022,233.4633331,267.4933472,233.3333282,266.9233398,266.9233398,135322200,TSLA
25-02-2022,269.7433472,273.1666565,260.7999878,269.956665,269.956665,76067700,TSLA
28-02-2022,271.6700134,292.2866821,271.5700073,290.1433411,290.1433411,99006900,TSLA
01-03-2022,289.8933411,296.6266785,284.5933228,288.1233215,288.1233215,74766900,TSLA
02-03-2022,290.7099915,295.4933472,281.4233398,293.2966614,293.2966614,74643300,TSLA
03-03-2022,292.9233398,295.480011,277.5333252,279.7633362,279.7633362,61623600,TSLA
04-03-2022,283.0333252,285.2166748,275.0533447,279.4299927,279.4299927,66999600,TSLA
07-03-2022,285.4333191,288.7133179,268.1900024,268.1933289,268.1933289,72494100,TSLA
08-03-2022,265.1766663,283.3299866,260.7233276,274.7999878,274.7999878,80399100,TSLA
09-03-2022,279.8266602,286.8533325,277.3366699,286.3233337,286.3233337,59184000,TSLA
10-03-2022,283.8166809,284.8166809,270.1199951,279.4333191,279.4333191,58648500,TSLA
11-03-2022,280.0666809,281.2666626,264.5899963,265.1166687,265.1166687,67037100,TSLA
14-03-2022,260.2033386,266.8999939,252.0133362,255.456665,255.456665,71152200,TSLA
15-03-2022,258.4233398,268.5233459,252.1900024,267.2966614,267.2966614,66841200,TSLA
16-03-2022,269.6666565,280.6666565,267.4200134,280.0766602,280.0766602,84028800,TSLA
17-03-2022,276.9966736,291.6666565,275.2399902,290.5333252,290.5333252,66582900,TSLA
18-03-2022,291.4966736,302.6166687,289.1300049,301.7966614,301.7966614,100414200,TSLA
21-03-2022,304.9933472,314.2833252,302.3633423,307.0533447,307.0533447,81981600,TSLA
22-03-2022,310,332.6199951,307.25,331.3266602,331.3266602,105868500,TSLA
23-03-2022,326.6466675,346.8999939,325.4666748,333.0366821,333.0366821,120676200,TSLA
24-03-2022,336.5766602,341.4966736,329.6000061,337.9733276,337.9733276,68920800,TSLA
25-03-2022,336,340.6000061,332.4400024,336.8800049,336.8800049,62031600,TSLA
28-03-2022,355.0333252,365.9599915,351.2000122,363.9466553,363.9466553,102506100,TSLA
29-03-2022,369.3299866,371.5899963,357.7033386,366.5233459,366.5233459,73614900,TSLA
30-03-2022,363.7233276,371.3166809,361.3333435,364.6633301,364.6633301,59865000,TSLA
31-03-2022,364.8566589,367.7133179,358.8800049,359.2000122,359.2000122,48992700,TSLA
01-04-2022,360.3833313,364.9166565,355.5466614,361.5299988,361.5299988,54263100,TSLA
04-04-2022,363.1266785,383.3033447,357.5100098,381.8166809,381.8166809,82035900,TSLA
05-04-2022,378.7666626,384.2900085,362.4333191,363.7533264,363.7533264,80075100,TSLA
06-04-2022,357.8233337,359.6666565,342.5666809,348.5866699,348.5866699,89348400,TSLA
07-04-2022,350.7966614,358.8633423,340.5133362,352.4200134,352.4200134,79447200,TSLA
08-04-2022,347.7366638,349.480011,340.813324,341.8299866,341.8299866,55013700,TSLA
11-04-2022,326.7999878,336.1566772,324.8800049,325.3099976,325.3099976,59357100,TSLA
12-04-2022,332.5466614,340.3966675,325.5333252,328.9833374,328.9833374,65976000,TSLA
13-04-2022,327.0266724,342.0799866,324.3666687,340.7900085,340.7900085,55121100,TSLA
14-04-2022,333.0966797,337.5700073,327.3966675,328.3333435,328.3333435,58422300,TSLA
18-04-2022,329.6766663,338.3066711,324.4700012,334.7633362,334.7633362,51715200,TSLA
19-04-2022,335.019989,344.980011,331.7766724,342.7166748,342.7166748,49847700,TSLA
20-04-2022,343.3333435,344.6666565,325.0833435,325.7333374,325.7333374,70711200,TSLA
21-04-2022,358.2433472,364.0733337,332.1400146,336.2600098,336.2600098,105416400,TSLA
22-04-2022,338.3033447,344.9500122,331.3333435,335.0166626,335.0166626,69696600,TSLA
25-04-2022,326.3233337,336.206665,325.1000061,332.6733398,332.6733398,68341200,TSLA
26-04-2022,331.8099976,333.3333435,291.6666565,292.1400146,292.1400146,136133700,TSLA
27-04-2022,299.5266724,306,292.4533386,293.8366699,293.8366699,76956300,TSLA
28-04-2022,299.9933472,300,273.8999939,292.5033264,292.5033264,124948500,TSLA
29-04-2022,300.75,311.4666748,290,290.2533264,290.2533264,88133100,TSLA
02-05-2022,286.9233398,302.1199951,282.6766663,300.980011,300.980011,75781500,TSLA
03-05-2022,301.0599976,308.0266724,296.1966553,303.0833435,303.0833435,63709500,TSLA
04-05-2022,301.313324,318.5,295.0933228,317.5400085,317.5400085,81643800,TSLA
05-05-2022,313.0066528,315.2000122,285.8999939,291.0933228,291.0933228,92519100,TSLA
06-05-2022,295.6666565,296,281.0366821,288.5499878,288.5499878,72903000,TSLA
09-05-2022,278.8166809,281.8766785,260.3833313,262.3699951,262.3699951,90810300,TSLA
10-05-2022,273.1033325,275.1199951,258.0833435,266.6799927,266.6799927,84401700,TSLA
11-05-2022,265,269.9233398,242.3999939,244.6666718,244.6666718,97224600,TSLA
12-05-2022,233.6666718,253.2200012,226.6666718,242.6666718,242.6666718,140313000,TSLA
13-05-2022,257.8266602,262.4500122,250.5233307,256.5299988,256.5299988,92150700,TSLA
16-05-2022,255.7200012,256.5866699,239.6966705,241.456665,241.456665,86098500,TSLA
17-05-2022,249.1199951,254.8266602,242.9499969,253.8699951,253.8699951,80236200,TSLA
18-05-2022,248.1733398,253.5,233.6033325,236.6033325,236.6033325,87811800,TSLA
19-05-2022,235.6666718,244.6666718,231.3699951,236.4733276,236.4733276,90296700,TSLA
20-05-2022,237.9966736,240.5266724,211,221.3000031,221.3000031,144973200,TSLA
23-05-2022,218.3399963,226.6533356,212.6866608,224.9666595,224.9666595,88903500,TSLA
24-05-2022,217.843338,217.9733276,206.8566742,209.386673,209.386673,89092500,TSLA
25-05-2022,207.9499969,223.1066742,207.6699982,219.6000061,219.6000061,92139300,TSLA
